ID,Title,Price,DiscountedPrice,DiscountPercentage,Tags,IsNew,ImageURL
aaceaa25-4c43-4958-b2e4-5c4a51ba2e80,Zen Table,300,150,50,"Zen, Table, White, Elegance ",Yes,https://cdn.sanity.io/images/vroc9g3x/production/73e36a9afc074b751d9f2693d2b251ba12b36276-3433x3064.jpg
pNdFo0jzUh1upuRBLN9fPE,Timber Craft,320,224,30,"wooden , craftsmanship , furniture , modern , nature inspired",No,https://cdn.sanity.io/images/vroc9g3x/production/35a8072e40a8b80142ff8e96e0f3af21811f5b9f-3264x4928.jpg
pNdFo0jzUh1upuRBLN9ioC,Bold Nest,260,182,30,"bold , nest , furniture , modern , contemporary",Yes,https://cdn.sanity.io/images/vroc9g3x/production/75ef174ddda5862f2b2e869b169d8c0fbc7ce15b-4160x4160.jpg
pNdFo0jzUh1upuRBLN9jul,Cloud Haven Chair,230,184,20,"cloud , chair , comfy , home decor, modern furniture",No,https://cdn.sanity.io/images/vroc9g3x/production/78683aab6c58d367f91e411fbe2aea5f06a9a9b7-3264x4902.jpg
pNdFo0jzUh1upuRBLN9oaq,Syltherine,200,160,20,"living, fancy, elegance , desgin",No,https://cdn.sanity.io/images/vroc9g3x/production/fd34380db5561bddee83ba8fad1601efef20bfe9-285x301.png
pNdFo0jzUh1upuRBLN9z3Z,Retro Vibe,340,,0,"retro , vintage , furniture , modern , decor",No,https://cdn.sanity.io/images/vroc9g3x/production/6e986db673401a7d253e8bdee86aceb4b71b4895-4144x4144.jpg
pNdFo0jzUh1upuRBLN9zeU,The Lucky Lamp,200,,0,"lamp , lucky , decor , lighting , vintage",No,https://cdn.sanity.io/images/vroc9g3x/production/c10750f3c15f8807251977fe5e042b0a6cee55ab-305x375.png
qQpkQmFIZ2DSQkhvXDfK7N,Rustic Vase Set,210,189,10,"rustic , vase , home decor, vintage , interior design",No,https://cdn.sanity.io/images/vroc9g3x/production/2219cafc285ec13a2ed3f88aa36cbea852a11735-305x375.png
qQpkQmFIZ2DSQkhvXDfLTT,Amber Haven,150,,0,"amber , luxury , cozy , elegant , furniture",Yes,https://cdn.sanity.io/images/vroc9g3x/production/d85aa7d13ed4a7f06e46c153928620b48d89729f-5029x3353.jpg
qQpkQmFIZ2DSQkhvXDfP3B,Bright Space,180,162,10,"bright , space , minimalistic , modern , decor",No,https://cdn.sanity.io/images/vroc9g3x/production/d32066d0882c1632e027b053564115ed460e09eb-3393x5090.jpg
qQpkQmFIZ2DSQkhvXDfSzp,Wood Chair,100,90,10,"wood , chair , furniture , classic , rustic",Yes,https://cdn.sanity.io/images/vroc9g3x/production/2c7c233904e6c98e27a2156dce5f008b1554d25d-2831x3534.jpg
qQpkQmFIZ2DSQkhvXDfWZX,Pure Aura,280,140,50,"pure , modern , elegance , interior design, furniture",No,https://cdn.sanity.io/images/vroc9g3x/production/db6d068faf67dab6145cadcd8e572944c6b9e935-3648x5472.jpg
